,Year,Month,ULP Price
97,2009,2,1.4079185938945422
98,2009,3,1.3896022201665128
99,2009,4,1.4396669750231268
100,2009,5,1.4388857938718664
101,2009,6,1.5075208913649023
102,2009,7,1.4744289693593313
103,2009,8,1.49624649859944
104,2009,9,1.492549019607843
105,2009,10,1.442016806722689
106,2009,11,1.4285607476635513
107,2009,12,1.4445981308411213
108,2010,1,1.480373831775701
109,2010,2,1.518802619270346
110,2010,3,1.5583161833489243
111,2010,4,1.5854817586529466
112,2010,5,1.6028571428571425
113,2010,6,1.5830075187969925
114,2010,7,1.565639097744361
115,2010,8,1.55625
116,2010,9,1.52625
117,2010,10,1.5175000000000003
118,2010,11,1.5213346043851288
119,2010,12,1.6081601525262152
120,2011,1,1.6622688274547186
121,2011,2,1.7076391554702497
122,2011,3,1.8001151631477927
123,2011,4,1.8229174664107484
124,2011,5,1.8377475728155337
125,2011,6,1.7787961165048545
126,2011,7,1.7916116504854371
127,2011,8,1.802109375
128,2011,9,1.8498046875
129,2011,10,1.876875
130,2011,11,1.8200196270853777
131,2011,12,1.8005888125613345
132,2012,1,1.8303827281648677
133,2012,2,1.8552755905511813
134,2012,3,1.9267322834645675
135,2012,4,1.9644094488188975
136,2012,5,1.9386268656716419
137,2012,6,1.8296119402985076
138,2012,7,1.7534328358208955
139,2012,8,1.8796799999999998
140,2012,9,1.9140000000000001
141,2012,10,1.9153200000000001
142,2012,11,1.8464128256513026
143,2012,12,1.8464128256513026
144,2013,1,1.858316633266533
145,2013,2,1.9548192771084338
146,2013,3,1.9534939759036147
147,2013,4,1.8395180722891569
148,2013,5,1.8325955734406438
149,2013,6,1.9375050301810866
150,2013,7,2.021167002012072
151,2013,8,2.0196941896024465
152,2013,9,2.0291131498470953
153,2013,10,1.9672171253822628
154,2013,11,1.9704742268041238
155,2013,12,2.05620618556701
156,2014,1,2.102474226804124
157,2014,2,2.093746130030959
158,2014,3,2.1005572755417954
159,2014,4,2.067863777089783
160,2014,5,2.087378238341969
161,2014,6,2.0887461139896373
162,2014,7,2.096953367875648
163,2014,8,2.0172803347280337
164,2014,9,1.9910460251046025
165,2014,10,2.00071129707113
166,2014,11,1.9234285714285713
167,2014,12,1.7655873015873016
168,2015,1,1.6035555555555556
169,2015,2,1.666851063829787
170,2015,3,1.8128936170212768
171,2015,4,1.8199148936170213
172,2015,5,1.9156270096463022
173,2015,6,1.9538263665594857
174,2015,7,1.9467524115755628
175,2015,8,1.9079351351351348
176,2015,9,1.8422918918918918
177,2015,10,1.8166054054054053
178,2015,11,1.747645788336933
179,2015,12,1.7590496760259182
180,2016,1,1.6892008639308855
181,2016,2,1.5658127018299246
182,2016,3,1.5786006458557587
183,2016,4,1.5786006458557587
184,2016,5,1.629913043478261
185,2016,6,1.7676521739130433
186,2016,7,1.723173913043478
187,2016,8,1.6481767955801103
188,2016,9,1.6233812154696132
189,2016,10,1.6700552486187845
190,2016,11,1.8270100783874579
191,2016,12,1.8787458006718927
192,2017,1,1.9748264277715566
193,2017,2,1.9740406320541763
194,2017,3,1.926365688487585
195,2017,4,1.8786907449209935
196,2017,5,1.8884999999999998
197,2017,6,1.8614999999999997
198,2017,7,1.7775
199,2017,8,1.8750691244239632
200,2017,9,1.932857142857143
201,2017,10,1.9663133640552999
202,2017,11,2.0668822170900696
203,2017,12,2.092794457274827
204,2018,1,2.1019399538106236
205,2018,2,2.1015990730011587
206,2018,3,2.0755967555040553
207,2018,4,2.124542294322132
208,2018,5,2.2752224824355967
209,2018,6,2.2953161592505853
210,2018,7,2.261311475409836
211,2018,8,2.2666825775656325
212,2018,9,2.3391408114558474
213,2018,10,2.4793317422434367
214,2018,11,2.3123855421686748
215,2018,12,2.0579277108433733
216,2019,1,2.032481927710843
217,2019,2,2.079320388349515
218,2019,3,2.19626213592233
219,2019,4,2.3372330097087377
220,2019,5,2.418110429447853
221,2019,6,2.236711656441718
222,2019,7,2.2674846625766873
223,2019,8,2.285373134328358
224,2019,9,2.324776119402985
225,2019,10,2.395373134328358
226,2019,11,2.388571428571429
227,2019,12,2.3968421052631577
228,2020,1,2.376992481203007
229,2020,2,2.262857142857143
230,2020,3,2.057597977243995
231,2020,4,1.6771175726927943
232,2020,5,1.7314503816793894
233,2020,6,1.9212213740458017
234,2020,7,2.033740458015267
235,2020,8,1.9901799485861185
236,2020,9,1.9867866323907455
237,2020,10,1.99866323907455
238,2020,11,1.9689290322580644
239,2020,12,2.025135483870968
240,2021,1,2.0847483870967745
241,2021,2,2.2279274611398967
242,2021,3,2.347616580310881
243,2021,4,2.3852331606217616
244,2021,5,2.3898039215686273
245,2021,6,2.427764705882353
246,2021,7,2.5623529411764707
247,2021,8,2.552114882506528
248,2021,9,2.6089817232375982
249,2021,10,2.772689295039165
250,2021,11,2.8970526315789478
251,2021,12,2.808473684210526
252,2022,1,2.9005263157894734
253,2022,2,3.114293262879789
254,2022,3,3.456063408190224
255,2022,4,2.943408190224571
256,2022,5,3.2824
257,2022,6,3.5727999999999995
258,2022,7,3.3457600000000003
259,2022,8,2.92703355704698
260,2022,9,2.9217181208053686
261,2022,10,3.214067114093959
262,2022,11,3.3044654939106897
263,2022,12,3.0847631935047355
264,2023,1,3.1008389715832205
265,2023,2,3.1928512960436564
266,2023,3,3.210859481582538
267,2023,4,3.3009004092769447
268,2023,5,3.164754098360656
269,2023,6,3.162950819672131
270,2023,7,3.1918032786885244
271,2023,8,3.566925207756233
272,2023,9,3.7003878116343487
273,2023,10,3.5577839335180057
274,2023,11,3.5389972144846795
275,2023,12,3.3643454038997214
